Date,Open,High,Low,Close,Volume
2016-06-06 17:00,7.385000,7.3962,7.385,7.385000,1018456
2016-06-06 17:01,7.385000,7.39,7.385,7.390000,1018456
2016-06-06 17:02,7.390000,7.39,7.3824,7.382400,1018876
2016-06-06 17:03,7.382400,7.3824,7.38,7.380000,1020076
2016-06-06 17:04,7.380000,7.38,7.37,7.370000,1043807
2016-06-06 17:05,7.370000,7.3725,7.37,7.372500,1062867
2016-06-06 17:06,7.372500,7.3725,7.3725,7.372500,1066979
2016-06-06 17:07,7.372500,7.38,7.3725,7.380000,1066979
2016-06-06 17:08,7.380000,7.39,7.38,7.383700,1072228
2016-06-06 17:09,7.390000,7.4,7.3837,7.400000,1074284
2016-06-06 17:10,7.400000,7.4,7.39,7.390000,1078278
2016-06-06 17:11,7.390000,7.395,7.39,7.395000,1078478
2016-06-06 17:12,7.395000,7.395,7.3932,7.393200,1079228
2016-06-06 17:13,7.393200,7.3932,7.3932,7.393200,1079643
2016-06-06 17:14,7.393200,7.3932,7.3932,7.393200,1080143
2016-06-06 17:15,7.393200,7.4,7.3929,7.392900,1080143
2016-06-06 17:16,7.392900,7.4,7.3929,7.400000,1082043
2016-06-06 17:17,7.400000,7.4,7.395,7.395000,1082453
2016-06-06 17:18,7.400000,7.4,7.395,7.395000,1085981
2016-06-06 17:19,7.395000,7.395,7.395,7.395000,1086298
2016-06-06 17:20,7.395000,7.395,7.3801,7.380100,1096551
2016-06-06 17:21,7.380100,7.3895,7.3801,7.389500,1098651
2016-06-06 17:22,7.389500,7.3895,7.385,7.389500,1099351
2016-06-06 17:23,7.389500,7.39,7.385,7.390000,1099351
2016-06-06 17:24,7.385000,7.39,7.385,7.390000,1099653
2016-06-06 17:25,7.390000,7.39,7.3801,7.385000,1101391
2016-06-06 17:26,7.385000,7.385,7.385,7.385000,1108772
2016-06-06 17:27,7.385000,7.385,7.383,7.383000,1108772
2016-06-06 17:28,7.383000,7.385,7.383,7.385000,1109472
2016-06-06 17:29,7.385000,7.3867,7.385,7.386700,1109772
2016-06-06 17:30,7.386700,7.3867,7.37,7.386700,1110092
2016-06-06 17:31,7.386700,7.3867,7.365,7.370000,1110092
2016-06-06 17:32,7.370000,7.37,7.37,7.370000,1124399
2016-06-06 17:33,7.370000,7.37,7.37,7.370000,1124399
2016-06-06 17:34,7.370000,7.38,7.37,7.380000,1124399
2016-06-06 17:35,7.380000,7.3869,7.37,7.386900,1130458
2016-06-06 17:36,7.386900,7.3869,7.3869,7.386900,1132208
2016-06-06 17:37,7.386900,7.3869,7.3801,7.386400,1132208
2016-06-06 17:38,7.386400,7.3864,7.365,7.372500,1134908
2016-06-06 17:39,7.370000,7.3725,7.37,7.370000,1172378
2016-06-06 17:40,7.370000,7.37,7.37,7.370000,1172378
2016-06-06 17:41,7.370000,7.37,7.37,7.370000,1172378
2016-06-06 17:42,7.370700,7.3707,7.37,7.370700,1174049
2016-06-06 17:43,7.370700,7.3707,7.37,7.370100,1174049
2016-06-06 17:44,7.370100,7.3701,7.3701,7.370100,1175476
2016-06-06 17:45,7.370100,7.3738,7.3701,7.373800,1175476
2016-06-06 17:46,7.373800,7.3738,7.3738,7.373800,1175884
2016-06-06 17:47,7.373800,7.375,7.37,7.373500,1175884
2016-06-06 17:48,7.370000,7.375,7.37,7.375000,1177186
2016-06-06 17:49,7.375000,7.375,7.3701,7.370100,1177286
2016-06-06 17:50,7.370100,7.375,7.3638,7.370000,1179286
2016-06-06 17:51,7.363800,7.375,7.34,7.350000,1184770
2016-06-06 17:52,7.350000,7.35,7.35,7.350000,1206564
2016-06-06 17:53,7.350000,7.355,7.35,7.355000,1218956
2016-06-06 17:54,7.355000,7.36,7.35,7.351800,1222256
2016-06-06 17:55,7.360000,7.36,7.3518,7.355000,1279756
